11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11
11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11
11,11,11,10,10,10,10,10,17,15,13,10,11,11,11,11,11,11,11,11
11,11,11,10,21,10,10,10,10,10,10,10,16,14,12,24,10,11,11,11
11,11,11,10,10,10,10,10,10,25,10,10,11,11,11,11,11,11,11,11
11,11,11,10,10,10,10,10,10,10,10,10,20,10,10,10,10,11,11,11
11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
